census_block_group,1,2,3,4,5,6,7,total_pop
510594151001,107,165,52,63,26,9,29,1278
510594151002,82,146,41,46,64,7,31,1362
510594151003,28,145,100,67,6,8,0,1006
510594152001,173,79,36,48,8,0,0,690
510594152002,299,77,26,0,0,0,0,545
510594152003,430,214,25,31,0,0,0,1086
510594152004,102,95,72,47,9,0,0,738
510594153001,27,43,44,69,0,7,16,795
510594153002,214,131,58,113,35,8,12,1469
510594153003,196,215,55,85,12,32,0,1441
510594154011,56,190,10,100,0,0,0,928
510594154012,202,448,152,97,58,32,30,2822
510594154013,154,260,43,76,38,54,0,1660
510594154021,79,204,56,44,27,0,0,1001
510594154022,61,102,31,91,24,0,0,892
510594154023,169,95,18,72,54,8,0,1073
510594155001,144,171,147,104,48,0,0,1650
510594155002,108,73,110,58,21,0,0,994
510594155003,182,195,56,154,95,0,0,1989
510594155004,207,143,65,58,24,0,45,1416
510594156001,135,272,101,65,26,33,6,1677
510594156002,59,157,112,66,10,0,0,1063
510594157001,75,122,71,69,41,11,0,1086
510594157002,119,262,197,218,80,42,0,2875
510594158001,31,224,45,118,41,5,0,1365
510594158002,117,200,99,166,29,25,5,1886
510594158003,76,171,71,170,65,0,0,1682
510594159001,22,164,77,77,0,10,0,958
510594159002,139,283,155,162,46,12,0,2220
510594160001,93,218,117,95,0,11,6,1507
510594160002,258,317,150,271,105,20,11,3402
510594160003,24,100,32,30,37,0,0,691
510594161001,208,293,199,114,65,55,7,2668
510594161002,80,249,35,29,15,11,8,1023
510594162001,50,89,64,66,56,64,17,1537
510594162002,12,201,319,313,138,21,39,3906
510594163001,23,124,48,66,4,36,8,1031
510594163002,105,169,56,36,16,0,32,1106
510594201001,33,82,97,39,10,17,22,1132
510594201002,83,284,146,174,85,51,17,2874
510594202011,78,136,77,30,30,12,11,1078
510594202012,112,155,92,59,23,22,59,1797
510594202013,46,119,106,36,83,18,0,1407
510594202021,423,366,105,33,20,0,0,1796
510594202022,114,56,15,0,0,0,0,270
510594202031,180,334,202,136,67,15,17,2696
510594203001,120,266,34,125,73,66,0,2113
510594203002,224,204,82,80,91,17,0,1837
510594203003,17,64,113,22,32,61,0,1152
510594203004,103,70,47,39,48,12,0,903
510594204001,247,316,136,22,22,0,0,1541
510594204002,767,252,36,67,12,0,0,1769
510594205011,563,423,17,22,0,6,0,1625
510594205021,183,244,92,9,39,0,3,1268
510594205022,229,162,29,4,0,0,0,681
