census_block_group,1,2,3,4,5,6,7
510594151001,10,16,5,6,2,1,3
510594151002,8,14,4,4,6,1,3
510594151003,3,14,9,5,1,1,0
510594152001,16,7,3,5,1,0,0
510594152002,28,7,2,0,0,0,0
510594152003,41,20,2,3,0,0,0
510594152004,10,9,7,4,1,0,0
510594153001,3,4,4,7,0,1,2
510594153002,20,12,5,11,3,1,1
510594153003,19,20,5,8,1,3,0
510594154011,5,18,1,9,0,0,0
510594154012,19,42,14,9,5,3,3
510594154013,15,25,4,7,4,5,0
510594154021,7,19,5,4,3,0,0
510594154022,6,10,3,9,2,0,0
510594154023,16,9,2,7,5,1,0
510594155001,14,16,14,10,5,0,0
510594155002,10,7,10,5,2,0,0
510594155003,17,18,5,15,9,0,0
510594155004,20,14,6,5,2,0,4
510594156001,13,25,10,6,2,3,1
510594156002,6,15,11,6,1,0,0
510594157001,7,12,7,7,4,1,0
510594157002,11,25,19,21,8,4,0
510594158001,3,21,4,11,4,0,0
510594158002,11,19,9,16,3,2,0
510594158003,7,16,7,16,6,0,0
510594159001,2,15,7,7,0,1,0
510594159002,13,27,15,15,4,1,0
510594160001,9,20,11,9,0,1,1
510594160002,24,30,14,26,10,2,1
510594160003,2,9,3,3,3,0,0
510594161001,20,28,19,11,6,5,1
510594161002,8,24,3,3,1,1,1
510594162001,5,8,6,6,5,6,2
510594162002,1,19,30,30,13,2,4
510594163001,2,12,5,6,0,3,1
510594163002,10,16,5,3,2,0,3
510594201001,3,8,9,4,1,2,2
510594201002,8,27,14,16,8,5,2
510594202011,7,13,7,3,3,1,1
510594202012,11,15,9,6,2,2,6
510594202013,4,11,10,3,8,2,0
510594202021,40,35,10,3,2,0,0
510594202022,11,5,1,0,0,0,0
510594202031,17,32,19,13,6,1,2
510594203001,11,25,3,12,7,6,0
510594203002,21,19,8,8,9,2,0
510594203003,2,6,11,2,3,6,0
510594203004,10,7,4,4,5,1,0
510594204001,23,30,13,2,2,0,0
510594204002,72,24,3,6,1,0,0
510594205011,53,40,2,2,0,1,0
510594205021,17,23,9,1,4,0,0
510594205022,22,15,3,0,0,0,0
510594205031,23,17,2,3,2,0,0
510594205032,28,15,10,7,1,5,0
510594205033,17,7,4,0,1,0,0
510594206001,4,27,10,10,0,3,1
510594206002,21,39,18,15,7,0,3
510594207001,8,16,13,10,4,4,2
510594207002,14,29,10,9,5,5,1
510594208001,4,6,1,4,2,4,2
510594208002,4,10,12,4,1,3,0
510594208003,8,19,7,6,4,0,8
510594210011,16,27,12,21,5,3,3
510594210021,29,14,6,5,0,0,0
510594210022,10,29,12,16,6,2,0
510594210023,10,11,10,10,5,0,1
510594211011,1,1,3,9,5,4,0
510594211012,16,27,23,10,3,4,1
510594211013,20,23,17,15,10,1,1
510594211021,23,18,6,5,6,3,0
510594211022,22,30,11,10,7,0,0
510594211031,1,6,5,5,6,0,0
510594211032,10,24,19,18,3,3,1
510594211033,7,11,5,3,4,0,0
510594211034,18,23,2,6,1,0,0
510594212001,8,23,12,14,5,2,0
510594213001,17,21,17,9,5,2,2
510594213002,16,22,9,9,3,1,0
510594214001,26,16,17,27,4,8,7
510594214002,14,18,2,1,1,0,0
510594214003,5,13,11,16,0,0,3
510594214004,9,3,29,18,6,0,0
